Richiesta,Titolo YouTube,Canale,URL,Status,Data Analisi
Nicolò Filippucci - Un'ora di follia,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Damiano David - Zombie Lady,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Sally Cruz - Città bruciata,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Aka 7even - Sentimento Criminale,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Bresh feat. Sayf - Erica,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Tananai - Bella madonnina,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Leroy Sanchez - Sorry For The Chaos,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Aly & AJ - Michael,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Aka 7even - Mi Manchi 2,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Soap - Nasci  jumelles,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Soap - Capirò  c_est la vie,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Sophie Ellis-Bextor - Vertigo,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Zep Dembo feat. Franco 126- Fine pena mai,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Golden Years feat. Franco126 & Nayt - Surreale,,,,❌ Nessun video ufficiale,2025-09-05 07:31
James Bay - Talk,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Beth McCarthy - All My Friends Are Hot,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Artemas - Southbound,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Ashley Singh - Don't Go Home,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Legno - Love Me,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Federica Abbate - Tilt,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Fulminacci - Casomai,,,,❌ Nessun video ufficiale,2025-09-05 07:31
SYML - Something Beautiful and Bright,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Christopher feat. Thor Farlov - Hvor Var Jeg Endt,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Jacopo Sol - Di tutti,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Knox - 50_50,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Knox - Now and Then,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Bnkr44 feat. Emma Nolde & Tedua - Mare di chiodi,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Antonia - Romantica,,,,❌ Nessun video ufficiale,2025-09-05 07:31
Sam Fischer - Lovelife,,,,🚫 Quota esaurita,2025-09-05 07:31
Jessie Reyez - NYB,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Quattro Fermate,,,,🚫 Quota esaurita,2025-09-05 07:31
Selena Gomez feat. Cigarette after sex - Guess You Could Say I'm In Love,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 feat. Ele A - Occhi Ingenui,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 feat. Ketama126 - Vampiro,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Angelo,,,,🚫 Quota esaurita,2025-09-05 07:31
Bellah Mae - Bad Day To Be My Ex,,,,🚫 Quota esaurita,2025-09-05 07:31
Ariana Grande - Warm,,,,🚫 Quota esaurita,2025-09-05 07:31
Ariana Grande - Intro _end of the world,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 feat. Fulminacci - Due Estranei,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Ancora No,,,,🚫 Quota esaurita,2025-09-05 07:31
Ariana Grande - Twilight zone,,,,🚫 Quota esaurita,2025-09-05 07:31
Ariana Grande - Hampstead,,,,🚫 Quota esaurita,2025-09-05 07:31
Sissal - Hallucination,,,,🚫 Quota esaurita,2025-09-05 07:31
Abor & Tynna - Baller,,,,🚫 Quota esaurita,2025-09-05 07:31
Mecna - Quanto ti importa,,,,🚫 Quota esaurita,2025-09-05 07:31
Emeline - Take it,,,,🚫 Quota esaurita,2025-09-05 07:31
Chiamamifaro - Leone,,,,🚫 Quota esaurita,2025-09-05 07:31
Afrojack - Never Forget You,,,,🚫 Quota esaurita,2025-09-05 07:31
Gaia - Moon Veleno - Gaia,,,,🚫 Quota esaurita,2025-09-05 07:31
Gaia - Rosa dei Venti - Gaia,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Pausa,,,,🚫 Quota esaurita,2025-09-05 07:31
AJ Mitchell - AFATECS,,,,🚫 Quota esaurita,2025-09-05 07:31
AJ Mitchell - Everlasting,,,,🚫 Quota esaurita,2025-09-05 07:31
AJ Mitchell - Foolish,,,,🚫 Quota esaurita,2025-09-05 07:31
Matt Hansen - We both know,,,,🚫 Quota esaurita,2025-09-05 07:31
Cmqmartina - Vuoi soltanto una hit,,,,🚫 Quota esaurita,2025-09-05 07:31
Gaia - Cicatrice,,,,🚫 Quota esaurita,2025-09-05 07:31
AJ Mitchell - Hypnotizing Wonder,,,,🚫 Quota esaurita,2025-09-05 07:31
Kelsea Ballerini - Cut Me Up,,,,🚫 Quota esaurita,2025-09-05 07:31
Lady Gaga - Vanish Into You,,,,🚫 Quota esaurita,2025-09-05 07:31
AJ Mitchell - Won't Be Long,,,,🚫 Quota esaurita,2025-09-05 07:31
Kelsea Ballerini - Put It To Bed,,,,🚫 Quota esaurita,2025-09-05 07:31
Lady Gaga - Perfect Celebrity,,,,🚫 Quota esaurita,2025-09-05 07:31
Lost - Lontano dalle ombre,,,,🚫 Quota esaurita,2025-09-05 07:31
Bradley Simpson - The Bands Not Breaking Up,,,,🚫 Quota esaurita,2025-09-05 07:31
Ally Salort - Before and After,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 feat. Coez - Bella Mossa,,,,🚫 Quota esaurita,2025-09-05 07:31
Bradley Simpson - Not Us Anymore,,,,🚫 Quota esaurita,2025-09-05 07:31
Elijah Woods - Could You Love Me,,,,🚫 Quota esaurita,2025-09-05 07:31
Bradley Simpson - Picasso,,,,🚫 Quota esaurita,2025-09-05 07:31
Lacuna Coil - In Nomine Patris,,,,🚫 Quota esaurita,2025-09-05 07:31
Rizzle Kicks - Bad Tattoo,,,,🚫 Quota esaurita,2025-09-05 07:31
Tate McRae - Siren sounds,,,,🚫 Quota esaurita,2025-09-05 07:31
JISOO - Your Love,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - News - Loi,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - Firework - Loi,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - Bad Idea - Loi,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Frasi Fatte,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Futuri Possibili,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Prima dell'Alba,,,,🚫 Quota esaurita,2025-09-05 07:31
Franco126 - Scacciapensieri,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - Pick up,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - The Way I Want It,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - Dancing With You,,,,🚫 Quota esaurita,2025-09-05 07:31
Selena Gomez feat. The Marìas - Ojos Tristes,,,,🚫 Quota esaurita,2025-09-05 07:31
Alessia Cara - Get To You,,,,🚫 Quota esaurita,2025-09-05 07:31
Neve - Should ve Been Us,,,,🚫 Quota esaurita,2025-09-05 07:31
Alessia Cara - Clearly,,,,🚫 Quota esaurita,2025-09-05 07:31
JISOO - Hugs Kisses,,,,🚫 Quota esaurita,2025-09-05 07:31
Lindsay Ell feat. Nightly  -I shouldn't call you,,,,🚫 Quota esaurita,2025-09-05 07:31
Settembre - Non lo volevo,,,,🚫 Quota esaurita,2025-09-05 07:31
Emeline - Choose ur fighter,,,,🚫 Quota esaurita,2025-09-05 07:31
Winona Oak - My Body,,,,🚫 Quota esaurita,2025-09-05 07:31
Matt Hansen - Versions of forever,,,,🚫 Quota esaurita,2025-09-05 07:31
Loi - I Loved,,,,🚫 Quota esaurita,2025-09-05 07:31
Matt Hansen - Where you belong,,,,🚫 Quota esaurita,2025-09-05 07:31
Nessa Barrett - Keep your eyes on me boy,,,,🚫 Quota esaurita,2025-09-05 07:31
Mako feat. Sasha Alex Sloan - What Have They Done To Us,,,,🚫 Quota esaurita,2025-09-05 07:31
Nessa Barrett - Blue Valentine,,,,🚫 Quota esaurita,2025-09-05 07:31
Nessa Barrett - Love look pretty like you,,,,🚫 Quota esaurita,2025-09-05 07:31
Matt Hansen - Better off without me,,,,🚫 Quota esaurita,2025-09-05 07:31
Matt Hansen - Break my heart,,,,🚫 Quota esaurita,2025-09-05 07:31
Nessa Barrett - American Beauty,,,,🚫 Quota esaurita,2025-09-05 07:31
Rascal Flatts feat. Jonas Brothers - I Dare You,,,,🚫 Quota esaurita,2025-09-05 07:31
Ryan Burns - Different Day,,,,🚫 Quota esaurita,2025-09-05 07:31
Verdiana - Malafemmena,,,,🚫 Quota esaurita,2025-09-05 07:31
Gazzelle - Da capo a 12,,,,🚫 Quota esaurita,2025-09-05 07:31
Tragiko - Barco a la deriva,,,,🚫 Quota esaurita,2025-09-05 07:31
Gazzelle - Noi no,,,,🚫 Quota esaurita,2025-09-05 07:31
Gazzelle - Stammi bene,,,,🚫 Quota esaurita,2025-09-05 07:31
Banks - Best Friends,,,,🚫 Quota esaurita,2025-09-05 07:31
Jxdn - Romantic Homicide,,,,🚫 Quota esaurita,2025-09-05 07:31
Band of Horses - The Funeral,,,,🚫 Quota esaurita,2025-09-05 07:31
CanovA feat. Angie - Amarti a 100 all'ora,,,,🚫 Quota esaurita,2025-09-05 07:31
A Great Big World - Then there were sparks,,,,🚫 Quota esaurita,2025-09-05 07:31
Guè feat. Chiello - Non Lo So,,,,🚫 Quota esaurita,2025-09-05 07:31
NOTD feat. Winona Oak - Another Life,,,,🚫 Quota esaurita,2025-09-05 07:31
"Armin van Buuren feat. Alok, Norma Jean Martine & Lawrent - Euphoria",,,,🚫 Quota esaurita,2025-09-05 07:31
Davina Michelle - Panic Attack,,,,🚫 Quota esaurita,2025-09-05 07:31
Jvke - Worlds Collide,,,,🚫 Quota esaurita,2025-09-05 07:31
Estremo feat. Caro Wow - Lovesick,,,,🚫 Quota esaurita,2025-09-05 07:31
Estremo feat. Mew  - Lacrimosa,,,,🚫 Quota esaurita,2025-09-05 07:31
Marracash - Pentothal,,,,🚫 Quota esaurita,2025-09-05 07:31
Banners - Hurts When It s Healing,,,,🚫 Quota esaurita,2025-09-05 07:31
Shari feat. Epoque - Margherita,,,,🚫 Quota esaurita,2025-09-05 07:31
Jessia  - I'm Not Gonna Cry,,,,🚫 Quota esaurita,2025-09-05 07:31
Rosé - Too bad for us,,,,🚫 Quota esaurita,2025-09-05 07:31
Rosé - Not the same,,,,🚫 Quota esaurita,2025-09-05 07:31
Rosé - Two years,,,,🚫 Quota esaurita,2025-09-05 07:31
Shari - Anestesia,,,,🚫 Quota esaurita,2025-09-05 07:31
Rosé - Stay a little longer,,,,🚫 Quota esaurita,2025-09-05 07:31
Psicologi - Il passo,,,,🚫 Quota esaurita,2025-09-05 07:31
Matteo Romano - Ballroom,,,,🚫 Quota esaurita,2025-09-05 07:31
EDONiCO - Sai che,,,,🚫 Quota esaurita,2025-09-05 07:31
Nayt - Poter scegliere,,,,🚫 Quota esaurita,2025-09-05 07:31
Tatum Rush - Angelina Jolie,,,,🚫 Quota esaurita,2025-09-05 07:31
Negramaro feat.  Aiello - Lente - Negramaro,,,,🚫 Quota esaurita,2025-09-05 07:31
Lorenzo Salvetti - Mille concerti,,,,🚫 Quota esaurita,2025-09-05 07:31
Ally Salort - Pretty Face,,,,🚫 Quota esaurita,2025-09-05 07:31
Ber - Middle Of Nowhere,,,,🚫 Quota esaurita,2025-09-05 07:31
Margaret - Last Call,,,,🚫 Quota esaurita,2025-09-05 07:31
Margaret - Tak musiało być,,,,🚫 Quota esaurita,2025-09-05 07:31
Nayt - Il Debito,,,,🚫 Quota esaurita,2025-09-05 07:31
Settembre - Oro oro,,,,🚫 Quota esaurita,2025-09-05 07:31
Margaret - Dance Stupid,,,,🚫 Quota esaurita,2025-09-05 07:31
"Perrie - Me, Myself  You",,,,🚫 Quota esaurita,2025-09-05 07:31
Psicologi feat. Nayt - Puro caos,,,,🚫 Quota esaurita,2025-09-05 07:31
Matteo Romano - Finta Nostalgia,,,,🚫 Quota esaurita,2025-09-05 07:31
Josh Ross - Matching TattooS,,,,🚫 Quota esaurita,2025-09-05 07:31
